team,group,elo,elo_change_1yr,matches_played,win_rate_3yr,win_rate_wc_qual,goals_scored_avg,goals_conceded_avg,clean_sheet_rate,form_5_games,form_10_games,weighted_form,xg_proxy_scored,xg_proxy_conceded,wc_appearances,avg_wc_round,wc_titles,wc_experience_score,strength_score,sports_rank,market_signal,econ_signal,social_signal,sports_signal,oracle_score,oracle_rank
Spain,E,2040.0,-0.4,37,0.757,0.833,2.73,0.81,0.486,0.7333,0.8,0.7576,2.519,0.847,9,3.2,1,10.7,80.76,3,0.02,0.4,0.8064123711340206,0.8076000000000001,48.90612371134022,1
Germany,J,1990.0,1.8,36,0.556,0.833,2.11,1.22,0.306,1.0,0.7,0.8909,2.223,1.093,9,4.1,4,20.6,76.9,4,0.02,0.4,0.85,0.769,47.605000000000004,2
France,D,2050.0,0.2,36,0.639,0.833,2.22,0.89,0.472,0.8667,0.8333,0.9091,1.873,0.861,8,3.5,2,13.5,81.08,2,0.02,0.4,0.6010790378006873,0.8108,46.99679037800688,3
Argentina,H,2090.0,1.25,35,0.8,0.667,2.03,0.4,0.686,1.0,0.7333,0.8727,1.936,0.415,9,3.8,3,17.3,88.22,1,0.02,0.4,0.1548109965635739,0.8822,45.747109965635744,4
England,F,2020.0,-0.4,37,0.649,1.0,2.11,0.59,0.541,0.6667,0.7333,0.6727,1.968,0.625,8,2.8,1,9.8,75.29,5,0.02,0.4,0.28287972508591064,0.7529,41.20929725085911,5
Japan,D,1855.0,2.0,35,0.771,0.8,3.09,0.66,0.543,1.0,0.6667,0.8121,3.074,0.649,7,2.1,0,5.6,68.29,10,0.02,0.4,0.5188109965635739,0.6829000000000001,40.418609965635746,6
Portugal,I,2000.0,-1.0,36,0.667,0.667,2.44,0.86,0.444,0.5333,0.7,0.6667,2.16,0.84,8,3.0,0,7.0,73.19,6,0.02,0.4,0.1926254295532646,0.7319,39.36175429553265,7
Netherlands,K,1980.0,-0.4,36,0.556,0.75,2.47,1.03,0.417,0.7333,0.8,0.7576,2.256,1.206,8,3.3,0,7.3,70.76,7,0.02,0.4,0.2525704467353952,0.7076,38.86770446735396,8
Brazil,G,2010.0,-0.6,34,0.441,0.444,1.68,1.09,0.324,0.4667,0.5667,0.5455,1.593,1.055,9,3.9,5,23.4,70.04,9,0.02,0.4,0.22928522336769758,0.7004,38.31085223367698,9
Morocco,D,1910.0,-0.3182,46,0.783,1.0,2.13,0.37,0.696,0.7333,0.8,0.7697,2.208,0.376,6,2.2,0,5.2,70.44,8,0.02,0.4,0.18540893470790376,0.7044,38.05208934707905,10
Croatia,H,1950.0,-0.2,33,0.576,0.875,1.97,0.97,0.424,0.8,0.8333,0.7576,1.747,1.128,6,3.2,0,6.2,67.42,11,0.02,0.4,0.15846735395189002,0.6742,36.423673539518894,11
Belgium,G,1960.0,0.0,34,0.5,0.625,2.18,0.88,0.441,0.7333,0.7333,0.7212,1.781,0.92,8,2.7,0,6.7,67.23,12,0.02,0.4,0.1548109965635739,0.6723,36.30160996563575,12
USA,B,1900.0,0.0,47,0.511,0.511,1.94,1.19,0.34,0.6,0.5333,0.503,1.983,1.127,8,2.1,0,6.1,59.38,17,0.02,0.4,0.48763573883161515,0.5938,36.097357388316155,13
Nigeria,E,1780.0,0.2222,42,0.524,0.417,1.74,0.88,0.357,0.6,0.7333,0.6848,1.739,0.84,6,2.0,0,5.0,52.99,26,0.02,0.4,0.7330927835051546,0.5299,35.67642783505155,14
Uruguay,J,1940.0,-0.8,36,0.417,0.389,1.39,0.75,0.528,0.4,0.5333,0.4727,1.385,0.729,9,2.9,2,13.4,61.89,16,0.02,0.4,0.30347079037800684,0.6189,35.38520790378008,15
Senegal,F,1850.0,0.0694,41,0.707,0.7,2.0,0.51,0.61,0.8,0.8333,0.8182,1.973,0.495,3,2.3,0,3.8,64.22,13,0.02,0.4,0.1646254295532646,0.6422,35.045254295532644,16
Australia,B,1790.0,-1.8,34,0.618,0.688,1.91,0.68,0.529,0.4,0.7,0.6182,2.011,0.617,5,1.8,0,4.3,55.22,22,0.02,0.4,0.567594501718213,0.5522,35.024945017182134,17
Colombia,G,1930.0,-0.8,37,0.568,0.389,1.86,0.86,0.459,0.4667,0.6,0.5455,1.816,0.867,6,2.3,0,5.3,63.2,14,0.02,0.4,0.1548109965635739,0.632,34.48810996563574,18
Norway,L,1860.0,-1.4,30,0.633,1.0,2.73,0.97,0.433,0.5333,0.7667,0.6424,2.805,1.005,4,2.0,0,4.0,62.09,15,0.02,0.4,0.203786941580756,0.6209,34.47836941580756,19
Mexico,A,1890.0,-0.8222,51,0.51,0.51,1.47,0.96,0.549,0.7333,0.4667,0.5455,1.48,0.898,9,2.2,0,6.7,58.71,19,0.02,0.4,0.332914089347079,0.5871,34.248640893470785,20
Austria,L,1820.0,-1.0,34,0.618,0.75,2.21,0.82,0.353,0.6667,0.8333,0.7939,2.066,0.971,2,1.5,0,2.5,58.95,18,0.02,0.4,0.2799931271477663,0.5895,33.82743127147767,21
Turkey,B,1810.0,0.8,35,0.571,0.75,1.8,1.37,0.314,0.8667,0.7333,0.7939,1.81,1.304,2,2.5,0,3.5,56.26,20,0.02,0.4,0.2614226804123711,0.5626,32.43122680412371,22
Iran,I,1800.0,-0.25,35,0.686,0.688,2.29,0.74,0.514,0.5333,0.3667,0.4848,2.258,0.753,5,1.2,0,3.7,55.13,24,0.02,0.4,0.3024123711340206,0.5513,32.33262371134021,23
South Korea,A,1830.0,-0.2,37,0.568,0.688,1.97,0.86,0.486,0.6,0.6333,0.5152,2.052,0.854,9,2.0,0,6.5,56.04,21,0.02,0.4,0.16962886597938143,0.5604,31.414288659793815,24
Switzerland,C,1880.0,-1.8,35,0.371,0.667,1.8,1.14,0.314,0.4,0.7,0.5455,1.651,1.222,7,2.0,0,5.5,55.18,23,0.02,0.4,0.20013058419243984,0.5518,31.332305841924395,25
Algeria,H,1760.0,0.0,45,0.667,0.8,2.24,0.73,0.467,0.6667,0.7667,0.697,2.205,0.746,4,1.5,0,3.5,54.81,25,0.02,0.4,0.15153951890034364,0.5481,30.679895189003442,26
Serbia,E,1870.0,0.4,32,0.375,0.5,1.16,1.16,0.312,0.6,0.5333,0.5333,0.968,1.04,4,1.5,0,3.5,52.54,27,0.02,0.4,0.24063917525773196,0.5254,30.54939175257732,27
Ecuador,H,1840.0,0.0,35,0.429,0.444,1.03,0.54,0.514,0.4667,0.4667,0.4788,0.989,0.511,4,1.5,0,3.5,51.62,28,0.02,0.4,0.1548109965635739,0.5162,29.277109965635745,28
Canada,C,1685.0,-0.7143,39,0.41,0.41,1.36,1.0,0.462,0.4667,0.5667,0.497,1.417,1.01,1,1.0,0,1.5,39.11,39,0.02,0.4,0.6745910652920962,0.3911,28.845410652920968,29
Egypt,I,1770.0,0.5556,43,0.535,0.8,1.6,0.77,0.512,0.5333,0.6,0.5879,1.598,0.779,3,1.0,0,2.5,50.11,29,0.02,0.4,0.17097594501718213,0.5011,28.759259450171825,30
Jordan,L,1640.0,1.0139,48,0.438,0.5,1.69,1.31,0.333,0.5333,0.5667,0.5697,1.752,1.208,0,0.0,0,0.0,37.15,41,0.02,0.4,0.6047353951890034,0.3715,27.264853951890032,31
Scotland,L,1750.0,-0.8,33,0.364,0.667,1.39,1.58,0.273,0.4,0.5333,0.4727,1.259,1.618,8,1.0,0,5.0,41.97,35,0.02,0.4,0.36986254295532645,0.41969999999999996,27.085125429553266,32
Tunisia,K,1740.0,-0.7778,42,0.476,0.9,1.4,0.71,0.5,0.4,0.4667,0.503,1.43,0.684,5,1.2,0,3.7,45.78,30,0.02,0.4,0.16731958762886598,0.4578,26.77419587628866,33
Chile,K,1710.0,2.15,33,0.333,0.111,1.27,1.21,0.424,0.8,0.4333,0.5818,1.101,1.281,9,2.1,0,6.6,40.94,36,0.02,0.4,0.37448109965635734,0.4094,26.667810996563574,34
DR Congo,F,1670.0,-0.5714,41,0.537,0.692,1.2,0.54,0.561,0.6667,0.7667,0.7333,1.211,0.535,2,1.0,0,2.0,44.21,31,0.02,0.4,0.1504810996563574,0.4421,25.899310996563575,35
Czechia,A,1730.0,0.0,33,0.515,0.5,1.91,1.12,0.333,0.5333,0.5333,0.5152,1.698,1.237,0,0.0,0,0.0,44.15,32,0.02,0.4,0.15134707903780067,0.4415,25.88097079037801,36
Cameroon,J,1700.0,0.2857,35,0.457,0.455,1.37,0.8,0.371,0.6,0.5667,0.5515,1.384,0.788,7,1.6,0,5.1,43.15,33,0.02,0.4,0.1892577319587629,0.4315,25.81007731958763,37
Iraq,K,1680.0,-0.3095,39,0.538,0.619,1.41,0.95,0.41,0.6,0.6667,0.6061,1.447,0.956,1,1.0,0,1.5,42.49,34,0.02,0.4,0.18839175257731958,0.4249,25.5044175257732,38
Paraguay,B,1720.0,-0.4,31,0.355,0.389,0.87,0.97,0.452,0.4,0.4667,0.4485,0.869,0.952,8,2.0,0,6.0,40.12,37,0.02,0.4,0.18002061855670104,0.4012,24.354206185567012,39
South Africa,A,1660.0,-0.5714,45,0.422,0.5,1.44,0.84,0.422,0.2667,0.5,0.4182,1.488,0.872,3,1.3,0,2.8,37.05,42,0.02,0.4,0.27065979381443295,0.3705,23.879097938144334,40
Uzbekistan,F,1630.0,0.05,38,0.553,0.625,1.63,0.74,0.553,0.6,0.5333,0.5697,1.648,0.695,0,0.0,0,0.0,39.14,38,0.02,0.4,0.16000687285223367,0.3914,23.713068728522337,41
Saudi Arabia,G,1690.0,-0.4,49,0.429,0.444,1.2,1.04,0.367,0.2,0.4333,0.3333,1.226,1.008,6,1.2,0,4.2,37.52,40,0.02,0.4,0.1548109965635739,0.37520000000000003,22.932109965635743,42
Haiti,D,1600.0,0.7381,30,0.467,0.6,2.13,1.2,0.367,0.4667,0.4333,0.4727,2.186,1.233,1,1.0,0,1.5,34.48,43,0.02,0.4,0.2111958762886598,0.3448,22.1279587628866,43
Bosnia,C,1620.0,0.0,0,0.55,0.55,1.3,1.76,0.2,0.5,0.5,0.5,1.3,1.76,1,1.0,0,1.5,34.13,44,0.02,0.4,0.16953264604810997,0.34130000000000005,21.553826460481105,44
Qatar,C,1650.0,-0.1667,44,0.409,0.556,1.57,1.48,0.227,0.2667,0.2333,0.2242,1.593,1.455,1,1.0,0,1.5,31.66,45,0.02,0.4,0.236213058419244,0.3166,21.109130584192442,45
New Caledonia,E,1500.0,0.0,14,0.643,0.5,2.64,0.86,0.429,0.2,0.1,0.5,2.659,0.878,0,0.0,0,0.0,31.6,46,0.02,0.4,0.1581786941580756,0.316,20.301786941580758,46
Suriname,I,1580.0,0.3333,28,0.357,0.455,1.46,1.0,0.321,0.3333,0.3333,0.3576,1.47,1.0,0,0.0,0,0.0,28.0,47,0.02,0.4,0.17232302405498282,0.28,18.823230240549833,47
Curacao,J,1520.0,0.0714,30,0.4,0.7,1.83,1.0,0.4,0.3333,0.4333,0.4,1.895,1.0,0,0.0,0,0.0,25.76,48,0.02,0.4,0.1938762886597938,0.2576,18.03076288659794,48
