team,market_prob,market_signal,source,volume_usd
Mexico,0.0714,0.0714,fallback,
South Africa,0.002,0.002,fallback,
South Korea,0.0445,0.0445,fallback,
Czechia,0.0116,0.0116,fallback,
Canada,0.0044,0.0044,fallback,
Bosnia,0.002,0.002,fallback,
Ukraine,0.0056,0.0056,fallback,
Switzerland,0.0777,0.0777,fallback,
Brazil,0.1802,0.1802,fallback,
Morocco,0.0949,0.0949,fallback,
Chile,0.0079,0.0079,fallback,
Scotland,0.0188,0.0188,fallback,
USA,0.0745,0.0745,fallback,
Paraguay,0.0096,0.0096,fallback,
Australia,0.0282,0.0282,fallback,
Turkey,0.0358,0.0358,fallback,
Germany,0.1546,0.1546,fallback,
Sweden,0.0056,0.0056,fallback,
Ivory Coast,0.0493,0.0493,fallback,
Ecuador,0.0468,0.0468,fallback,
Netherlands,0.1497,0.1497,fallback,
Japan,0.0625,0.0625,fallback,
Peru,0.0161,0.0161,fallback,
Tunisia,0.0137,0.0137,fallback,
Belgium,0.1313,0.1313,fallback,
Egypt,0.0248,0.0248,fallback,
Iran,0.0319,0.0319,fallback,
New Zealand,0.002,0.002,fallback,
Spain,0.2141,0.2141,fallback,
Venezuela,0.0056,0.0056,fallback,
Saudi Arabia,0.005,0.005,fallback,
Uruguay,0.1142,0.1142,fallback,
France,0.2324,0.2324,fallback,
Senegal,0.057,0.057,fallback,
Iraq,0.0038,0.0038,fallback,
Norway,0.0056,0.0056,fallback,
Argentina,0.3,0.3,fallback,
Algeria,0.0217,0.0217,fallback,
Austria,0.04,0.04,fallback,
Colombia,0.1062,0.1062,fallback,
Portugal,0.1749,0.1749,fallback,
DR Congo,0.0029,0.0029,fallback,
Uzbekistan,0.002,0.002,fallback,
Denmark,0.0543,0.0543,fallback,
England,0.1967,0.1967,fallback,
Croatia,0.1226,0.1226,fallback,
Ghana,0.002,0.002,fallback,
Panama,0.002,0.002,fallback,
