team,search_momentum,sentiment_score
Algeria,0.16,0.5
Argentina,0.5,0.5
Australia,43.4,0.5
Austria,13.51,0.5
Belgium,0.5,0.5
Bosnia,2.03,0.5
Brazil,8.24,0.5
Cameroon,4.08,0.5
Canada,54.52,0.5
Chile,23.33,0.5
Colombia,0.5,0.5
Croatia,0.88,0.5
Curacao,4.56,0.5
Czechia,0.14,0.5
DR Congo,0.05,0.5
Ecuador,0.5,0.5
Egypt,2.18,0.5
England,13.81,0.5
France,46.88,0.5
Germany,72.75,0.5
Haiti,6.36,0.5
Iran,15.84,0.5
Iraq,3.99,0.5
Japan,38.33,0.5
Jordan,47.26,0.5
Mexico,19.01,0.5
Morocco,3.68,0.5
Netherlands,10.66,0.5
New Caledonia,0.85,0.5
Nigeria,60.6,0.5
Norway,5.59,0.5
Paraguay,3.12,0.5
Portugal,4.43,0.5
Qatar,8.96,0.5
Saudi Arabia,0.5,0.5
Scotland,22.85,0.5
Senegal,1.52,0.5
Serbia,9.42,0.5
South Africa,12.54,0.5
South Korea,2.04,0.5
Spain,68.22,0.5
Suriname,2.32,0.5
Switzerland,5.21,0.5
Tunisia,1.8,0.5
Turkey,11.58,0.5
USA,35.09,0.5
Uruguay,15.95,0.5
Uzbekistan,1.04,0.5
